age,hp_kW,km,Gearing_Type,Gears,body_type,make_model,Fuel,Drive_chain,Weight_kg,Paint_Type,Upholstery_type,cons_comb,price
3.0,70.0,50280.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1065.0,Metallic,Cloth,4.5,29440.0
1.0,85.0,13406.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1135.0,Metallic,Cloth,3.8,29600.0
2.0,85.0,51160.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Metallic,Cloth,4.0,29600.0
3.0,92.0,15850.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.9,29600.0
3.0,92.0,17000.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1190.0,Metallic,Cloth,4.9,30240.0
1.0,85.0,9077.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1630.0,Metallic,Part/Full Leather,3.7,30160.0
1.0,70.0,3000.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1165.0,Metallic,Cloth,4.4,29600.0
3.0,70.0,115000.0,Manual,5.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.2,14398.400000000001
3.0,70.0,84029.0,Manual,5.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.2,18310.4
3.0,70.0,67800.0,Manual,5.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.2,18080.0
1.0,66.0,14556.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1135.0,Uni/basic,Cloth,4.3,30240.0
3.0,70.0,22000.0,Manual,5.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.4,18064.0
3.0,66.0,38400.0,Manual,5.0,Compact,Audi A1,Diesel,front,1195.0,Metallic,Cloth,3.0,18064.0
3.0,66.0,83307.0,Manual,5.0,Sedans,Audi A1,Diesel,front,1195.0,Uni/basic,Cloth,3.6,18304.0
3.0,70.0,39668.0,Manual,5.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.4,18312.0
3.0,66.0,30353.0,Manual,5.0,Sedans,Audi A1,Diesel,front,1195.0,Metallic,Cloth,3.7,18720.0
3.0,66.0,126000.0,Manual,5.0,Sedans,Audi A1,Diesel,front,1205.0,Metallic,Cloth,3.7,19040.0
3.0,70.0,57500.0,Manual,5.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.4,19118.4
3.0,70.0,73945.0,Manual,5.0,Sedans,Audi A1,Benzine,front,1110.0,Metallic,Cloth,4.4,19024.0
2.0,66.0,96000.0,Manual,5.0,Sedans,Audi A1,Diesel,front,1195.0,Metallic,Cloth,3.7,18560.0
3.0,60.0,43120.0,Manual,5.0,Sedans,Audi A1,Benzine,front,1110.0,Metallic,Cloth,4.2,19040.0
3.0,66.0,110715.0,Manual,5.0,Compact,Audi A1,Diesel,front,1180.0,Metallic,Cloth,4.4,18608.0
3.0,60.0,31971.0,Manual,5.0,Compact,Audi A1,Benzine,front,1110.0,Metallic,Cloth,4.4,19008.0
3.0,66.0,94800.0,Manual,5.0,Compact,Audi A1,Diesel,front,1180.0,Metallic,Cloth,3.4,18880.0
3.0,66.0,85000.0,Manual,5.0,Compact,Audi A1,Diesel,front,1180.0,Metallic,Cloth,3.4,18960.0
3.0,66.0,111265.0,Manual,5.0,Compact,Audi A1,Diesel,front,1180.0,Metallic,Cloth,4.4,18510.4
3.0,66.0,44120.0,Manual,5.0,Sedans,Audi A1,Diesel,front,1135.0,Metallic,Cloth,3.6,18384.0
3.0,70.0,97976.0,Manual,5.0,Sedans,Audi A1,Benzine,front,1110.0,Metallic,Cloth,4.2,18384.0
3.0,66.0,106000.0,Manual,5.0,Sedans,Audi A1,Diesel,front,1195.0,Metallic,Cloth,3.7,18400.0
3.0,85.0,60000.0,Manual,5.0,Sedans,Audi A1,Diesel,front,1250.0,Metallic,Cloth,3.7,18864.0
3.0,60.0,58000.0,Manual,5.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Part/Full Leather,4.4,18384.0
3.0,60.0,57454.0,Manual,5.0,Compact,Audi A1,Benzine,front,1675.0,Metallic,Cloth,4.4,18352.0
3.0,66.0,94055.0,Manual,5.0,Compact,Audi A1,Diesel,front,1180.0,Metallic,Cloth,4.4,18368.0
3.0,70.0,56000.0,Manual,5.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.2,17888.0
3.0,70.0,27600.0,Manual,5.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.2,18320.0
3.0,85.0,111670.0,Manual,5.0,Compact,Audi A1,Diesel,front,1250.0,Metallic,Cloth,3.0,17760.0
3.0,66.0,30500.0,Manual,5.0,Compact,Audi A1,Diesel,front,1180.0,Metallic,Cloth,3.8,17440.0
2.0,70.0,69500.0,Manual,5.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.4,17598.4
3.0,60.0,43500.0,Manual,5.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.2,17440.0
3.0,70.0,45696.0,Manual,5.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.4,17520.0
3.0,66.0,34000.0,Manual,5.0,Sedans,Audi A1,Diesel,front,1165.0,Metallic,Part/Full Leather,3.8,17280.0
3.0,70.0,55000.0,Manual,5.0,Sedans,Audi A1,Benzine,front,1110.0,Metallic,Part/Full Leather,4.2,16960.0
3.0,66.0,99000.0,Manual,5.0,Sedans,Audi A1,Diesel,front,1205.0,Metallic,Cloth,3.7,17280.0
3.0,70.0,118500.0,Manual,5.0,Compact,Audi A1,Benzine,front,1110.0,Metallic,Cloth,4.4,15920.0
3.0,70.0,85000.0,Manual,5.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.2,16480.0
3.0,85.0,192000.0,Manual,5.0,Sedans,Audi A1,Diesel,front,1250.0,Metallic,Cloth,3.9,16000.0
3.0,66.0,130000.0,Manual,5.0,Compact,Audi A1,Diesel,front,1180.0,Metallic,Cloth,3.9,16784.0
3.0,71.0,41294.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1065.0,Metallic,Cloth,4.4,30240.0
2.0,85.0,64000.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1720.0,Metallic,Part/Full Leather,4.2,30240.0
1.0,70.0,13135.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1625.0,Metallic,Part/Full Leather,4.2,30240.0
2.0,70.0,4250.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Part/Full Leather,4.4,30240.0
1.0,70.0,2949.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.4,30224.0
2.0,71.0,17861.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.2,30224.0
2.0,92.0,22800.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Part/Full Leather,5.1,30224.0
2.0,70.0,5108.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1165.0,Metallic,Cloth,4.4,30208.0
1.0,70.0,11335.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.4,30208.0
1.0,70.0,6396.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.4,30208.0
3.0,85.0,47800.0,Automatic,7.0,Compact,Audi A1,Diesel,front,1180.0,Metallic,Cloth,3.8,30208.0
1.0,70.0,7021.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.4,30208.0
3.0,92.0,30952.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Part/Full Leather,5.2,30208.0
3.0,92.0,33991.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Part/Full Leather,5.2,30208.0
2.0,66.0,35800.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1135.0,Metallic,Cloth,3.8,30192.0
1.0,85.0,7672.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1630.0,Metallic,Part/Full Leather,3.7,30160.0
1.0,85.0,13406.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1135.0,Metallic,Cloth,3.8,29600.0
1.0,70.0,8430.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.6,30192.0
3.0,85.0,40488.0,Automatic,5.0,Compact,Audi A1,Diesel,front,1250.0,Metallic,Cloth,4.0,29595.2
2.0,66.0,24200.0,Automatic,7.0,Compact,Audi A1,Diesel,front,1195.0,Metallic,Cloth,4.1,29584.0
2.0,66.0,26500.0,Automatic,7.0,Compact,Audi A1,Diesel,front,1180.0,Metallic,Cloth,4.0,29584.0
3.0,71.0,58806.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1065.0,Metallic,Cloth,4.4,29584.0
3.0,85.0,39000.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1250.0,Metallic,Cloth,3.8,29600.0
2.0,92.0,16700.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1215.0,Metallic,Cloth,5.1,29584.0
3.0,92.0,41900.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Part/Full Leather,5.1,29584.0
3.0,92.0,15093.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.9,29568.0
1.0,66.0,5211.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1135.0,Metallic,Cloth,4.0,29568.0
1.0,70.0,12000.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.6,29552.0
3.0,92.0,50066.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.9,29510.4
2.0,71.0,51484.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1065.0,Metallic,Cloth,4.4,29440.0
1.0,85.0,14770.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1135.0,Metallic,Cloth,3.8,29440.0
1.0,85.0,12415.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Metallic,Cloth,4.0,30240.0
1.0,85.0,26064.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Metallic,Cloth,4.0,30240.0
1.0,85.0,16500.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Metallic,Cloth,4.0,30240.0
3.0,92.0,9000.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1215.0,Metallic,Part/Full Leather,4.9,30240.0
1.0,85.0,12402.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Metallic,Part/Full Leather,4.0,30240.0
1.0,85.0,14702.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Metallic,Part/Full Leather,4.0,30240.0
1.0,85.0,14523.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Metallic,Cloth,4.0,30240.0
1.0,85.0,9082.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Metallic,Cloth,4.0,30240.0
1.0,85.0,9580.0,Automatic,5.0,Sedans,Audi A1,Diesel,front,1175.0,Metallic,Cloth,3.5,30240.0
1.0,85.0,10013.0,Automatic,5.0,Sedans,Audi A1,Diesel,front,1175.0,Metallic,Cloth,3.5,30240.0
1.0,85.0,10450.0,Automatic,5.0,Sedans,Audi A1,Diesel,front,1175.0,Metallic,Cloth,3.5,30240.0
1.0,85.0,14878.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Metallic,Cloth,4.0,30240.0
1.0,85.0,10273.0,Automatic,5.0,Sedans,Audi A1,Diesel,front,1175.0,Metallic,Cloth,3.5,30240.0
3.0,71.0,47500.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1065.0,Metallic,Cloth,4.4,30240.0
1.0,85.0,9466.0,Automatic,5.0,Sedans,Audi A1,Diesel,front,1175.0,Metallic,Cloth,3.5,30240.0
1.0,85.0,18971.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1200.0,Metallic,Cloth,3.7,30240.0
1.0,70.0,31877.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1165.0,Metallic,Cloth,4.5,30240.0
1.0,85.0,9878.0,Automatic,5.0,Sedans,Audi A1,Diesel,front,1175.0,Metallic,Cloth,3.5,30240.0
1.0,70.0,17535.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.6,30240.0
3.0,92.0,76264.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1115.0,Metallic,Cloth,4.9,30160.0
1.0,70.0,6695.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.6,30160.0
3.0,92.0,21275.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.9,30160.0
1.0,66.0,12261.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1665.0,Metallic,Cloth,3.9,30160.0
1.0,70.0,3620.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.4,30144.0
1.0,85.0,8330.0,Automatic,5.0,Sedans,Audi A1,Diesel,front,1250.0,Metallic,Cloth,3.5,30080.0
1.0,70.0,20306.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1165.0,Metallic,Cloth,4.4,30000.0
0.0,85.0,1.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1200.0,Metallic,Cloth,4.8,29968.0
3.0,85.0,27000.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Metallic,Cloth,3.7,29920.0
3.0,92.0,31750.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1180.0,Metallic,Part/Full Leather,4.2,29904.0
2.0,70.0,19800.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1165.0,Metallic,Part/Full Leather,4.4,29760.0
3.0,85.0,52000.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Metallic,Part/Full Leather,4.0,29600.0
1.0,70.0,15500.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.4,29600.0
3.0,92.0,25977.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,5.0,29792.0
2.0,70.0,9000.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Uni/basic,Cloth,4.4,29600.0
2.0,66.0,65000.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1250.0,Uni/basic,Cloth,3.8,29600.0
1.0,85.0,14493.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Uni/basic,Cloth,4.0,29600.0
2.0,92.0,33500.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1215.0,Metallic,Cloth,4.9,29600.0
1.0,70.0,4800.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1165.0,Metallic,Cloth,4.4,29332.800000000003
3.0,70.0,51000.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1040.0,Metallic,Cloth,4.4,29360.0
2.0,70.0,7307.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1165.0,Metallic,Part/Full Leather,4.4,29358.4
1.0,70.0,4800.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1165.0,Metallic,Cloth,4.4,29332.800000000003
1.0,70.0,5500.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1165.0,Metallic,Cloth,4.4,29332.800000000003
1.0,66.0,35500.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1220.0,Metallic,Cloth,4.0,29280.0
2.0,92.0,18000.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Uni/basic,Cloth,4.9,29280.0
2.0,92.0,40000.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1660.0,Uni/basic,Cloth,4.2,29264.0
1.0,85.0,14551.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1135.0,Uni/basic,Cloth,4.0,29200.0
1.0,85.0,16500.0,Automatic,6.0,Sedans,Audi A1,Diesel,front,1135.0,Metallic,Cloth,4.2,29120.0
3.0,85.0,26700.0,Automatic,7.0,Compact,Audi A1,Diesel,front,1180.0,Metallic,Cloth,3.8,29096.0
2.0,70.0,8000.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1165.0,Metallic,Cloth,4.4,29040.0
1.0,85.0,15000.0,Automatic,6.0,Compact,Audi A1,Diesel,front,1225.0,Metallic,Cloth,3.8,28800.0
2.0,92.0,14436.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,5.2,28796.800000000003
3.0,92.0,72624.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Part/Full Leather,5.2,28796.800000000003
3.0,66.0,13960.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1195.0,Metallic,Cloth,3.9,28784.0
3.0,92.0,40301.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,5.2,28784.0
2.0,71.0,19990.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.2,28784.0
1.0,70.0,3087.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.4,28784.0
3.0,66.0,37626.0,Automatic,7.0,Compact,Audi A1,Diesel,front,1195.0,Metallic,Cloth,4.1,28782.4
2.0,70.0,22980.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.4,28768.0
3.0,66.0,57926.0,Automatic,7.0,Compact,Audi A1,Diesel,front,1180.0,Metallic,Cloth,3.8,28768.0
2.0,92.0,3900.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1215.0,Metallic,Cloth,4.9,28752.0
3.0,92.0,7924.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.9,28768.0
2.0,85.0,6257.0,Automatic,7.0,Compact,Audi A1,Diesel,front,1250.0,Metallic,Cloth,4.0,28752.0
3.0,85.0,29800.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1200.0,Metallic,Cloth,3.7,28720.0
3.0,70.0,35816.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1065.0,Metallic,Cloth,4.4,28720.0
1.0,92.0,12960.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Part/Full Leather,4.9,28720.0
1.0,70.0,8600.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1165.0,Metallic,Cloth,4.4,28720.0
2.0,70.0,14300.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1090.0,Metallic,Part/Full Leather,4.2,28720.0
1.0,70.0,9463.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1165.0,Metallic,Cloth,4.4,28710.4
3.0,92.0,20326.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.9,28704.0
3.0,70.0,70000.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Part/Full Leather,4.4,28720.0
1.0,66.0,23664.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1135.0,Metallic,Cloth,4.2,28000.0
3.0,66.0,51900.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1195.0,Metallic,Part/Full Leather,3.8,28000.0
2.0,70.0,15000.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1165.0,Metallic,Part/Full Leather,4.4,28000.0
3.0,92.0,33000.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1215.0,Metallic,Part/Full Leather,4.9,28000.0
3.0,66.0,12000.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1217.0,Metallic,Part/Full Leather,3.8,27920.0
2.0,66.0,42000.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1220.0,Metallic,Cloth,3.8,28000.0
2.0,85.0,25976.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Metallic,Cloth,4.0,28688.0
2.0,70.0,26299.0,Automatic,5.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.2,28000.0
2.0,70.0,40000.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Uni/basic,Cloth,4.4,27992.0
2.0,66.0,36530.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1220.0,Metallic,Cloth,3.8,27984.0
2.0,67.0,29159.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1135.0,Metallic,Cloth,4.2,27984.0
3.0,141.0,55000.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1255.0,Metallic,Cloth,5.8,27984.0
3.0,70.0,40133.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1165.0,Metallic,Cloth,4.4,27918.4
2.0,92.0,38562.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1215.0,Metallic,Cloth,4.9,27912.0
1.0,70.0,7300.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1165.0,Metallic,Cloth,4.4,27910.4
2.0,92.0,10457.0,Automatic,7.0,Station wagon,Audi A1,Benzine,front,1215.0,Metallic,Cloth,4.9,27904.0
3.0,70.0,27058.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Part/Full Leather,4.4,27872.0
3.0,70.0,38344.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.4,27920.0
3.0,110.0,45276.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Part/Full Leather,4.7,27912.0
1.0,70.0,16607.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.4,27792.0
3.0,70.0,26462.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.4,27760.0
2.0,66.0,62000.0,Automatic,7.0,Compact,Audi A1,Diesel,front,1195.0,Uni/basic,Cloth,3.8,28640.0
2.0,85.0,40257.0,Automatic,7.0,Compact,Audi A1,Diesel,front,1250.0,Uni/basic,Part/Full Leather,3.8,28688.0
3.0,85.0,36709.0,Automatic,7.0,Compact,Audi A1,Diesel,front,1180.0,Uni/basic,Cloth,3.8,28672.0
2.0,70.0,25330.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1610.0,Metallic,Part/Full Leather,4.5,28640.0
3.0,66.0,11300.0,Automatic,7.0,Compact,Audi A1,Diesel,front,1180.0,Metallic,Cloth,4.4,28640.0
1.0,70.0,10170.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.6,28640.0
1.0,85.0,12260.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Metallic,Part/Full Leather,4.0,28640.0
3.0,70.0,44604.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.2,28640.0
2.0,71.0,25751.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Part/Full Leather,4.2,28640.0
2.0,70.0,13000.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1165.0,Metallic,Part/Full Leather,4.4,28640.0
3.0,70.0,63136.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Part/Full Leather,4.4,28640.0
2.0,85.0,21900.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1175.0,Metallic,Cloth,4.2,28640.0
3.0,70.0,23357.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1580.0,Metallic,Part/Full Leather,4.4,28640.0
3.0,110.0,40000.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Part/Full Leather,5.0,28640.0
3.0,70.0,63136.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Part/Full Leather,4.4,28640.0
3.0,92.0,27950.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.9,28624.0
3.0,70.0,3150.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1165.0,Metallic,Cloth,4.4,27040.0
1.0,70.0,4810.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,4.6,28640.0
2.0,66.0,32700.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1135.0,Uni/basic,Cloth,4.0,27040.0
3.0,66.0,67790.0,Automatic,7.0,Compact,Audi A1,Diesel,front,1165.0,Metallic,Part/Full Leather,4.0,27040.0
2.0,85.0,63500.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1135.0,Metallic,Cloth,3.8,28624.0
2.0,93.0,37702.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.2,28640.0
2.0,66.0,40164.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1220.0,Metallic,Cloth,3.8,28640.0
3.0,71.0,47750.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.2,27040.0
3.0,92.0,39600.0,Automatic,7.0,Compact,Audi A1,Benzine,front,1180.0,Metallic,Cloth,5.2,27024.0
3.0,70.0,29200.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.4,27024.0
3.0,70.0,32103.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.4,27008.0
